ts_code,symbol,name
000001.SZ,000001,平安银行
000002.SZ,000002,万科A
000004.SZ,000004,国农科技
000005.SZ,000005,世纪星源
000006.SZ,000006,深振业A
000008.SZ,000008,神州高铁
000009.SZ,000009,中国宝安
000011.SZ,000011,深物业A
000012.SZ,000012,南玻A
000014.SZ,000014,沙河股份
000016.SZ,000016,深康佳A
000020.SZ,000020,深华发A
000021.SZ,000021,深科技
000023.SZ,000023,深天地A
000025.SZ,000025,特力A
000026.SZ,000026,飞亚达
000027.SZ,000027,深圳能源
000028.SZ,000028,国药一致
000029.SZ,000029,深深房A
000030.SZ,000030,富奥股份
000031.SZ,000031,大悦城
000032.SZ,000032,深桑达A
000034.SZ,000034,神州数码
000035.SZ,000035,中国天楹
000036.SZ,000036,华联控股
000037.SZ,000037,深南电A
000038.SZ,000038,深大通
000039.SZ,000039,中集集团
000040.SZ,000040,东旭蓝天
000042.SZ,000042,中洲控股
000045.SZ,000045,深纺织A
000046.SZ,000046,泛海控股
000048.SZ,000048,京基智农
000049.SZ,000049,德赛电池
000050.SZ,000050,深天马A
000055.SZ,000055,方大集团
000056.SZ,000056,皇庭国际
000058.SZ,000058,深赛格
000059.SZ,000059,华锦股份
000060.SZ,000060,中金岭南
000061.SZ,000061,农产品
000062.SZ,000062,深圳华强
000065.SZ,000065,北方国际
000066.SZ,000066,中国长城
000068.SZ,000068,华控赛格
000069.SZ,000069,华侨城A
000070.SZ,000070,特发信息
000078.SZ,000078,海王生物
000088.SZ,000088,盐田港
000089.SZ,000089,深圳机场
000090.SZ,000090,天健集团
000096.SZ,000096,广聚能源
000099.SZ,000099,中信海直
000100.SZ,000100,TCL科技
000150.SZ,000150,宜华健康
000151.SZ,000151,中成股份
000153.SZ,000153,丰原药业
000155.SZ,000155,川能动力
000156.SZ,000156,华数传媒
000157.SZ,000157,中联重科
000158.SZ,000158,常山北明
000159.SZ,000159,国际实业
000166.SZ,000166,申万宏源
000301.SZ,000301,东方盛虹
000333.SZ,000333,美的集团
000338.SZ,000338,潍柴动力
000400.SZ,000400,许继电气
000401.SZ,000401,冀东水泥
000402.SZ,000402,金融街
000403.SZ,000403,双林生物
000404.SZ,000404,长虹华意
000407.SZ,000407,胜利股份
000411.SZ,000411,英特集团
000413.SZ,000413,东旭光电
000415.SZ,000415,渤海租赁
000416.SZ,000416,民生控股
000417.SZ,000417,合肥百货
000419.SZ,000419,通程控股
000420.SZ,000420,吉林化纤
000421.SZ,000421,南京公用
000423.SZ,000423,东阿阿胶
000425.SZ,000425,徐工机械
000426.SZ,000426,兴业矿业
000429.SZ,000429,粤高速A
000430.SZ,000430,张家界
000488.SZ,000488,晨鸣纸业
000498.SZ,000498,山东路桥
000501.SZ,000501,鄂武商A
000502.SZ,000502,绿景控股
000503.SZ,000503,国新健康
000505.SZ,000505,京粮控股
000507.SZ,000507,珠海港
000510.SZ,000510,新金路
000513.SZ,000513,丽珠集团
000514.SZ,000514,渝开发
000516.SZ,000516,国际医学
000517.SZ,000517,荣安地产
000519.SZ,000519,中兵红箭
000520.SZ,000520,长航凤凰
000523.SZ,000523,广州浪奇
000524.SZ,000524,岭南控股
000525.SZ,000525,红太阳
000526.SZ,000526,紫光学大
000528.SZ,000528,柳工
000529.SZ,000529,广弘控股
000530.SZ,000530,冰山冷热
000531.SZ,000531,穗恒运A
000532.SZ,000532,华金资本
000533.SZ,000533,顺钠股份
000534.SZ,000534,万泽股份
000537.SZ,000537,广宇发展
000538.SZ,000538,云南白药
000539.SZ,000539,粤电力A
000540.SZ,000540,中天金融
000541.SZ,000541,佛山照明
000543.SZ,000543,皖能电力
000544.SZ,000544,中原环保
000545.SZ,000545,金浦钛业
000546.SZ,000546,金圆股份
000547.SZ,000547,航天发展
000548.SZ,000548,湖南投资
000550.SZ,000550,江铃汽车
000551.SZ,000551,创元科技
000552.SZ,000552,靖远煤电
000553.SZ,000553,安道麦A
000554.SZ,000554,泰山石油
000555.SZ,000555,神州信息
000557.SZ,000557,西部创业
000558.SZ,000558,莱茵体育
000559.SZ,000559,万向钱潮
000560.SZ,000560,我爱我家
000561.SZ,000561,烽火电子
